Dokument;Kategorie;Beschreibung;Thumbnail;Datei
Prospekt Deutschland;Prospekt;Unter anderem auf dem deutschen Markt erscheinendes Prospekt;ProspektDeutsch.jpg;Deutsches -Prospekt.pdf
Prospekt Schweiz;Prospekt;Unter anderem auf dem schweizer Markt erscheinendes Prospekt;ProspektSchweiz.jpg;ProspektSchweiz.pdf
TUEV-Rheinland;Musterbericht;Musterbericht TÜV Rheinland;Musterbericht.jpg;TUEV-Rheinland-Musterbericht.pdf
Service Informationen; Werkstatt-Information;Technische Service Informationen;TechnischeServiceInformation.jpg;TechnischeServiceInformation.pdf
Einlegeblatt; Werkstatt-Information;Einlegeblatt;Einlegeblatt.jpg;Einlegeblatt.pdf
Ersatzteilliste; Werkstatt-Information;Capri Turbo-Ersatzteilliste;Ersatzteile.jpg;WTSparePartsList.pdf
 Werkstatt-Information; Werkstatt-Information;Werkstatt-Information;Werkstatt-Information.jpg;Werkstattinformation-V2.pdf
Innenbelüftete Scheibenbremse;Einbauanleitung;"Einbauanleitung Nr.: 18-76
Innenbelüftete Scheibenbremse - Anhang aus Werkstatt-Information";EinbauanleitungScheibenbremse.jpg;EinbauanleitungInnenbelüfteteScheibenbremsen18-76.pdf
RS Vorderachse Capri II;Einbauanleitung;"Einbauanleitung Nr.: 70-78
RS Vorderachse Capri II - Anhang aus Werkstatt-Information";EinbauanleitungVorderachse.jpg;Einbauanleitung70-78RSVorderachseCapriII.pdf
Große Verbreiterung Capri ´78;Einbauanleitung;"Einbauanleitung Nr.: 78-78
Große Verbreiterung Capri ´78 - Anhang aus Werkstatt-Information";EinbauanleitungVerbreiterung.jpg;Einbauanleitung78-78GroßeVerbreiterungCapri78.pdf
RS Fussstütze Capri;Einbauanleitung;"Einbauanleitung Nr.: 89-79
RS Fussstütze Capri - Anhang aus Werkstatt-Information";EinbauanleitungFußstütze.jpg;Einbauanleitung89-79RSFussstützeCapri.pdf
RS Heckspoiler Capri (turbo);Einbauanleitung;"Einbauanleitung Nr.: 117-81
RS Heckspoiler Capri (turbo) - Anhang aus Werkstatt-Information";EinbauanleitungHeckspoiler.jpg;Einbauanleitung117-81-RS-HeckspoilerCapri(turbo).pdf
Frontspoiler Turbo - Capri;Einbauanleitung;"Einbauanleitung Nr.: 118-81
Frontspoiler Turbo - Capri - Anhang aus Werkstatt-Information";EinbauanleitungFrontspoiler.jpg;Einbauanleitung118-81FrontspoilerTurbo-Capri.pdf
RS-Lenkrad Alle PKW;Einbauanleitung;"Einbauanleitung Nr.: 89-79
RS-Lenkrad Alle PKW - Anhang aus Werkstatt-Information";EinbauanleitungLenkrad.jpg;Einbauanleitung130-82RS-LenkradAllePKW.pdf
