Bericht;Kategorie;Beschreibung;Thumbnail;Link
Aufgeblasen;Pressebericht;Neues Top-Modell mit aufgeladenem 188 PS-Motor AMS 12-82;Aufgeblasen - Thumbnail.jpg;
Grenzbereich;Pressebericht;Neuer Ford Capri Tubo mot Nr.17 19.08.8;Grenzbereich - Thumbnail.jpg;
Schneller Ford-Schritt;Pressebericht;Neuer Turbo-Capri mit 188 PS für 33 000 Mark;Schneller Ford-Schritt - Thumbnail.jpg;
Turbo Capri für die Straße;Pressebericht;Turbo Capri für die Straße - Der schnellste Serienwagen von Ford;Turbo Capri für die Straße - Thumbnail.jpg;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
